Id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,CleanedReviewText,RecommendedOrNot,ReviewLength,PlayHours,DatePosted
1,0.0,1.0,0.0,0.0,0.2066509872674942,0.5647975206375122,0.22855152189731598,monke,Recommended,5,20.7,14-11-2024
2,0.0,1.0,0.0,0.0,0.04488911107182503,0.5093241930007935,0.4457867443561554,8/10,Recommended,4,51.6,14-11-2024
3,0.067,0.481,0.452,0.8402,0.0037308786995708942,0.044744327664375305,0.9515247344970703,game awesome hard track move start muscle memory start work game play get better,Recommended,95,7.3,13-11-2024
4,1.0,0.0,0.0,-0.5106,0.41976889967918396,0.5110562443733215,0.06917481124401093,pain,Recommended,4,5.1,13-11-2024
5,0.0,1.0,0.0,0.0,0.2066509872674942,0.5647975206375122,0.22855152189731598,monke,Recommended,5,30.9,13-11-2024
6,0.0,0.0,1.0,0.4404,0.057428330183029175,0.27954646944999695,0.6630252003669739,good,Recommended,4,116.9,13-11-2024
7,0.0,0.76,0.24,0.6249,0.006859395653009415,0.05333928391337395,0.9398012757301331,game frekaing peak reason peak make idc im glazign soul outta agmne freakinhg awesome,Recommended,97,6.3,13-11-2024
8,0.41,0.468,0.122,-0.9748,0.8745271563529968,0.11546102911233902,0.010011768899857998,literally find say loud dont think fun gameimmediately doesnt feel reward either fight game progression minibosses hardly mob leave game play bos fight die figure movesto make worse fight doesnt feel good game suppose reward technical game play lock dodge often attack animation jump dont avoid aoe bos attack lead bore run away wait game play,Not Recommended,486,5.7,13-11-2024
9,0.053,0.576,0.371,0.9131,0.010354025289416313,0.06707090884447098,0.922575056552887,fir time play soulslike game really enjoy perhaps people wouldnt like nonopen world think let enjoy real story character also thanks really need focus go berserk 100 would recommend,Recommended,236,5.5,13-11-2024
10,0.055,0.617,0.328,0.9152,0.059867024421691895,0.2354053258895874,0.7047276496887207,first four chapter really impressive final bos fight one best ive ever play however fifth sixth chapter full flaw trace unfinished work additionally seller intention use gender discrimination create trend unforgivable overall valuable gaming experience,Recommended,286,39.5,13-11-2024
11,0.0,0.196,0.804,0.6249,0.009585421532392502,0.06394277513027191,0.9264717698097229,great game,Recommended,9,62.3,14-11-2024
12,0.0,0.233,0.767,0.765,0.023650269955396652,0.2212306410074234,0.7551190853118896,one best game play,Recommended,29,51.8,14-11-2024
13,0.0,0.0,1.0,0.5719,0.008278506807982922,0.08304926753044128,0.9086722731590271,excellent,Recommended,9,53.9,14-11-2024
14,0.0,0.606,0.394,0.5994,0.050906118005514145,0.6214351654052734,0.32765865325927734,im super far yet game might goty,Recommended,40,7.6,14-11-2024
15,0.0,1.0,0.0,0.0,0.32609182596206665,0.5028589367866516,0.17104922235012054,goty,Recommended,4,66.2,14-11-2024
16,0.0,1.0,0.0,0.0,0.08783963322639465,0.792034387588501,0.12012592703104019,monke go uu uu aa aa go get game boink yaoguai,Recommended,49,27.6,14-11-2024
